IDs,id,code,description,name,sequence,group_ids/Id
1,__export__.eschool_standard_1,EX,,EX,0,__export__.eschool_course_division_1
2,__export__.eschool_standard_2,I,,I,,__export__.eschool_course_division_1
3,__export__.eschool_standard_3,II,,II,,__export__.eschool_course_division_1
4,__export__.eschool_standard_4,III,,III,,__export__.eschool_course_division_1
5,__export__.eschool_standard_5,IIIN,,IIIN,,__export__.eschool_course_division_1
6,__export__.eschool_standard_6,IIN,,IIN,,__export__.eschool_course_division_1
7,__export__.eschool_standard_7,IM,,IM,,__export__.eschool_course_division_1
8,__export__.eschool_standard_8,IN,,IN,,__export__.eschool_course_division_1
9,__export__.eschool_standard_9,IV,,IV,,__export__.eschool_course_division_1
10,__export__.eschool_standard_10,IVN,,IVN,,__export__.eschool_course_division_1
11,__export__.eschool_standard_11,IX,,IX,,__export__.eschool_course_division_2;__export__.eschool_course_division_3;__export__.eschool_course_division_4;__export__.eschool_course_division_5
12,__export__.eschool_standard_12,V,,V,,__export__.eschool_course_division_1
13,__export__.eschool_standard_13,VI,,VI,,__export__.eschool_course_division_1
14,__export__.eschool_standard_14,VII,,VII,,__export__.eschool_course_division_1
15,__export__.eschool_standard_15,VIII,,VIII,,__export__.eschool_course_division_1
16,__export__.eschool_standard_16,VIIIN,,VIIIN,,__export__.eschool_course_division_1
17,__export__.eschool_standard_17,VIIN,,VIIN,,__export__.eschool_course_division_1
18,__export__.eschool_standard_18,VIN,,VIN,,__export__.eschool_course_division_1
19,__export__.eschool_standard_19,VN,,VN,,__export__.eschool_course_division_1
20,__export__.eschool_standard_20,X,,X,,__export__.eschool_course_division_2;__export__.eschool_course_division_3;__export__.eschool_course_division_4;__export__.eschool_course_division_5
21,__export__.eschool_standard_21,XI,,XI,,__export__.eschool_course_division_2;__export__.eschool_course_division_3;__export__.eschool_course_division_4;__export__.eschool_course_division_5
22,__export__.eschool_standard_22,XII,,XII,,__export__.eschool_course_division_2;__export__.eschool_course_division_3;__export__.eschool_course_division_4;__export__.eschool_course_division_5
23,__export__.eschool_standard_23,XIIE,,XIIE,,__export__.eschool_course_division_2;__export__.eschool_course_division_3;__export__.eschool_course_division_4;__export__.eschool_course_division_5
24,__export__.eschool_standard_24,XIII,,XIII,,__export__.eschool_course_division_2;__export__.eschool_course_division_3;__export__.eschool_course_division_4;__export__.eschool_course_division_5
25,__export__.eschool_standard_25,XIIX,,XIIX,,__export__.eschool_course_division_2;__export__.eschool_course_division_3;__export__.eschool_course_division_4;__export__.eschool_course_division_5
26,__export__.eschool_standard_26,XIX,,XIX,,__export__.eschool_course_division_2;__export__.eschool_course_division_3;__export__.eschool_course_division_4;__export__.eschool_course_division_5
27,__export__.eschool_standard_27,XO,,XO,,__export__.eschool_course_division_2;__export__.eschool_course_division_3;__export__.eschool_course_division_4;__export__.eschool_course_division_5
28,__export__.eschool_standard_28,XXII,,XXII,,__export__.eschool_course_division_2;__export__.eschool_course_division_3;__export__.eschool_course_division_4;__export__.eschool_course_division_5
